,id,title,author,genre,tag,platform,age,rate,complete,free,website
56,56,허니 레몬 소다 [연재],무라타 마유,로맨스,#학원#로맨스#귀여움#성장물#달달물,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/honey_lemon_soda
57,57,일단 뜨겁게 청소하라?!,앵고,로맨스,#로맨스,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/clean_up_hot
58,58,이 회사에 좋아하는 사람이 있습니다,에노모토 아카마루,로맨스,#로맨스#사내연애#귀여움#오피스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/office_romance
59,59,잔망스러운 정주임,"이현민, miyune",로맨스,#로맨스#사내연애#오피스#달달물,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/cute_jung
60,60,허니 컴 허니,시라이시 유키,로맨스,#로맨스#연애#고등학교#귀여움#학원,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/honey_come_honey
61,61,미스타임 (Miss time) [연재],"봉구씨, 경섭",로맨스,#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/miss_time
62,62,서는 여자[개정판],전호윤,로맨스,#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/woman_15
63,63,물건이네 물건이야,홍혜,로맨스,#로맨스#귀여움#코믹#소꿉친구#삼각관계,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/moolgun_iyaa
64,64,내 생애 최고의 늑대,"란, 김병관",로맨스,#로맨스#트라우마#첫사랑#연예인#삼각관계,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/wolves
65,65,황비님의 비밀수업 [연재],"한세람, 톰",로맨스,#로판#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/queens_secret_class
66,66,너와 헤어진 세 번의 가을,광염,로맨스,#로맨스,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/three_autumn
67,67,나쁜 연애는 없다,문흥미,로맨스,#연애#로맨스#걸크러쉬#츤데레,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/no_bad_love
68,68,사신 도련님과 검은 메이드 [연재],이노우에 코하루,로맨스,#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/black_maid
69,69,아디오스 에이프릴 [연재],혜빈,로맨스,#판타지#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/adios_april
70,70,개기면 죽는다,"왕기대, 마야",로맨스,#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/dog_die
71,71,살맛 : 전생에 나라를 구했습니다[개정판],스튜디오 스텔라즈,로맨스,#환생#로맨스#드라마,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/salmat_15
72,72,오늘부터 신령님,스즈키 줄리에타,로맨스,#신#판타지#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/god_from_today
73,73,있잖아요 용님!,영현,로맨스,#로판#로맨스#이종족,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/heydragon
74,74,사랑이라 하기엔 기분 나빠,모구스,로맨스,#로맨스#츤데레#연애#개그,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/hard_to_say_love
75,75,밤을 걷는 선비 [컬러] [스크롤],"조주희, 한승희",로맨스,#뱀파이어#조선#시대극#드라마#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/walk_night
76,76,"솔미솔파, 나의 노래","김용선, 조효은",로맨스,#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/solme
77,77,"대표님, 저 결혼했어요",HotRead,로맨스,#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/im_married_sir
78,78,환생하여 배우님 유혹하기 [연재],픽스타,로맨스,#환생#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/target_is_the_actor
79,79,악랄한 대표님의 순진한 그녀,yoolook media,로맨스,#로맨스#재벌,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/innocent_girl
80,80,이세계의 황비,"임서림, 이영유",로맨스,#로판#궁정물#소설원작#이세계물#로맨스,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/queen_of_other_world
81,81,창룡의 시종,치토세 시키,로맨스,#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/servant_of_dragon
82,82,게임하다 눈맞을 운명입니다 [연재],"zuoxiaoling, kexiaosha",로맨스,#로맨스#게임,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/destiny_to_love
83,83,S플라워[개정판],진미,로맨스,#다각관계#걸크러쉬#로맨스,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/sflower_15
84,84,하얀천사에게 날개는 없다,가도,백합,#학원#왕따#여고#고등학교#백합,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/white
